cell	steps	best_uplift	max_scar	duration_sec	unique_sha
K2_S20	20	3.000000	1.200000	4.609	1
K2_S28	28	3.000000	1.200000	8.223	1
K2_S29	29	3.000000	1.200000	8.921	1
K2_S30	30	3.000000	1.200000	9.297	1
K2_S31	31	3.000000	1.200000	9.567	1
K2_S32	32	3.000000	1.200000	9.721	1
K2_S33	33	3.000000	1.200000	11.460	1
K2_S34	34	3.000000	1.200000	11.637	1
K2_S35	35	3.000000	1.200000	12.857	1
K2_S36	36	3.000000	1.200000	13.273	1
K2_S37	37	3.000000	1.200000	13.439	1
K2_S38	38	3.000000	1.200000	15.228	1
K2_S39	39	3.000000	1.200000	15.008	1
K2_S40	40	3.000000	1.200000	16.059	1
K2_S41	41	3.000000	1.200000	17.115	1
K2_S42	42	3.000000	1.200000	17.718	1
K2_S43	43	3.000000	1.200000	18.366	1
K2_S44	44	3.000000	1.200000	19.200	1
K2_S45	45	3.000000	1.200000	19.675	1
K2_S46	46	3.000000	1.200000	21.015	1
K2_S47	47	3.000000	1.200000	22.007	1
K2_S48	48	3.000000	1.200000	22.570	1
K2_S49	49	3.000000	1.200000	23.911	1
K2_S50	50	3.000000	1.200000	28.064	1
K2_S51	51	3.000000	1.200000	26.818	1
K2_S52	52	3.000000	1.200000	27.824	1
K2_S53	53	3.000000	1.200000	29.819	1
K2_S54	54	3.000000	1.200000	29.897	1
K2_S55	55	3.000000	1.200000	29.677	1
K2_S56	56	3.000000	1.200000	31.813	1
K2_CYC7_S7	7	3.000000	1.200000	1.175	1
K2_CYC7_S14	14	3.000000	1.200000	2.720	1
K2_CYC7_S21	21	3.000000	1.200000	5.051	1
K2_CYC6_S6	6	4.000000	1.200000	0.864	1
K2_CYC6_S12	12	3.000000	1.200000	2.482	1
K2_CYC6_S18	18	3.000000	1.200000	4.040	1
K2_CYC6_S24	24	3.000000	1.200000	6.154	1
K2_CYC8_S8	8	3.500000	1.200000	1.189	1
K2_CYC8_S16	16	3.000000	1.200000	3.069	1
